Building Name,Floor Name,Space Name,Space Capacity,Local Date,Local Time,Booking Status,People Presence,Peak People Count,UTC Timestamp,Time Zone,Hierarchy Path,Workspace Type,temperature,humidity,co2,Building Count,occupied,meeting_event_id,meeting_event_flag
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,15:15:00,False,False,0,1746137700000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.65,51.0,443.0,265.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,15:30:00,False,True,1,1746138600000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.55,51.0,447.0,267.0,True,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,15:45:00,False,False,0,1746139500000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.38,51.0,440.0,229.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,16:00:00,False,False,0,1746140400000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.26,51.0,440.0,205.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,16:15:00,False,False,0,1746141300000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.17,51.0,438.0,189.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,16:30:00,False,False,0,1746142200000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.1,51.0,437.0,184.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,16:45:00,False,False,0,1746143100000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.1,51.0,439.0,166.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,17:00:00,False,False,0,1746144000000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.01,52.0,438.0,157.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,17:15:00,False,False,0,1746144900000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,69.94,52.0,439.0,147.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,17:30:00,False,False,0,1746145800000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,69.83,52.0,440.0,128.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,17:45:00,False,False,0,1746146700000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,69.72,51.0,434.0,98.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,18:00:00,False,False,0,1746147600000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.02,51.0,436.0,77.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,18:15:00,False,False,0,1746148500000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.38,51.0,435.0,67.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,18:30:00,False,False,0,1746149400000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.52,51.0,442.0,56.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,18:45:00,False,False,0,1746150300000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.78,51.0,444.0,36.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,19:00:00,False,False,0,1746151200000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.99,51.0,446.0,30.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,19:15:00,False,False,0,1746152100000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.08,51.0,452.0,19.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,19:30:00,False,False,0,1746153000000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.12,51.0,457.0,15.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,19:45:00,False,False,0,1746153900000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.2,50.0,463.0,13.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,20:00:00,False,False,0,1746154800000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.24,50.0,455.0,12.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,20:15:00,False,False,0,1746155700000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.29,50.0,457.0,11.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,20:30:00,False,False,0,1746156600000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.3,50.0,456.0,9.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,20:45:00,False,False,0,1746157500000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.31,50.0,458.0,8.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,21:00:00,False,False,0,1746158400000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.37,50.0,455.0,8.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,21:15:00,False,False,0,1746159300000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.41,50.0,463.0,13.0,False,0,0
